Component Name,Level,Component Yield,BoM Quantity per Assembly,Quantity per Assembly,Quantity per Top Level Assembly,On Hand,Available,Back Ordered,On Order,Units,Average Cost,Description,Minimum Quantity
CD Labor Consumption,1,100,0,0,0,0,0,0,0,,,,
17000707,1,100,3,3,3,100,70,0,0,Each,0.1517,Off-White Nylon Unthreaded Spacer,
94000066,1,100,0,0,0,0,0,0,0,,,Analyzer Production Traveler,
94000029,1,100,0,0,0,0,0,0,0,,,"Procedure, QC Release Test, Analyzer",
67000170,1,100,2,2,2,0,0,20,0,Each,,FP A Analyzer Barcode Label,
61000082,1,100,1,1,1,59,49,0,0,Each,5.12,Analyzer IP A Part ID Label,
61000074,1,100,1,1,1,155,145,0,0,Each,4.2,RoHS Compliant Analyzer IP Part ID Label,
61000064,1,100,1,1,1,105,95,0,0,Each,3.01,"Analyzer IP Serial Number Label, cNemko",
61000055,1,100,1,1,1,243,233,0,0,Each,0.59,Biohazard Symbol Label,
40000144,1,100,0,0,0,0,0,0,0,,,CPU2 PMT Calibration 10 pW,
40000132,1,100,0,0,0,0,0,0,0,,,CPU2 PMT Calibration Worksheet,
40000072,1,100,0,0,0,0,0,0,0,,,FP Instrument Test Data Form,
40000069,1,100,0,0,0,0,0,0,0,,,FP Burn-In Data Analysis(BurnInData.xls),
40000065,1,100,0,0,0,0,0,0,0,,,Analyzer QC Release Test,
17000712,1,100,5,5,5,270,220,0,0,Each,0.159,"Screw 8-32 x 7/8 SHCS""",
17000708,1,100,1,1,1,7,0,3,50,Each,288.5,Opticon Scanner,
17000700,1,100,1,1,1,90,79,0,0,Each,2.72,"3/8"" NPT x 1/4"" Tubing Elbow",
17000699,1,100,1,1,1,114,103,0,0,Each,0.17350877,"3/8"" x 5/8"" Grommet",
17000696,1,100,11,11,11,649,539,0,0,Each,1.71,"1/8"" X 10-32 Tube Connector",
17000687,1,100,4,4,4,220,180,0,0,Each,0.06063636,"4-40 x 3/4"" Socket Head Cap Screw",
17000650,1,100,2,2,2,50,29,0,0,Each,4.41,"Y Fitting, .25 x .25 x .25",
17000556,1,100,7,7,7,380,310,0,0,Each,0.02157895,"Screw, 4-40 x .625 PHMS",
17000529,1,100,1,1,1,72,62,0,0,Each,1.19,"Connector, 9 Pin IDC 26 AWG",
17000528,1,100,2,2,2,127,107,0,0,Each,0.39251969,"Screw, M2.6 × 0.45 SHCS, RoHS",
17000527,1,100,1,1,1,142,119,0,40,Each,680,Photosensor Module,
17000526,1,100,1,1,1,308,297,0,0,Each,0.09480519,"O-ring, .208 ID x .348 OD",
17000525,1,100,8,8,8,"1,155","1,061",0,0,Each,0.15132468,Locking tie .070 Width,
17000523,1,100,1,1,1,53,43,0,0,Each,11.45,1/8 NPT x 1/4 Tube Check Valve,
17000522,1,100,0,0,0,68,65,0,0,Each,0.14764706,"Low Profile Cable Tie, 11 1/4 in x 0.18",
17000518,1,100,1,1,1,88,78,0,0,Each,0.10920455,1/4 Nylon Loop Clamp,
17000514,1,100,2,2,2,238,218,0,0,Each,0.0802521,2-56 x 9/16 SHCS Screw,
17000513,1,100,2,2,2,397,374,0,0,Each,0.02745592,#4 Washer 0.21 OD,
17000512,1,100,2,2,2,302,281,0,0,Each,0.21864238,4-40 x 3/16 set screw,
17000510,1,100,0.0015,0.0015,0.0015,1.9415,1.9265,0,0,Each,11.75379861,Double Sided Tape (Roll),
17000508,1,100,1,1,1,105,95,0,0,Each,0.20047619,Bulkhead Grommet,
17000506,1,100,1,1,1,54,44,0,0,Each,239.1866667,12VDC Motor with Shaft Adapter,
17000505,1,100,1,1,1,58,47,0,0,Each,6.075,90 PSI Safety Valve,
17000504,1,100,2,2,2,552,532,0,0,Each,0.0675,"Screw, M3 x 6, PHP",
17000484,1,100,1,1,1,72,62,0,0,Each,7.13,KNF Muffler,
17000483,1,100,1,1,1,47,37,0,75,Each,367.9808511,KNF Analyzer Pump,
17000469,1,100,0,0,0,6,6,0,0,Each,2.78,Thread Sealant Tape (Roll),
17000466,1,100,1,1,1,44,34,0,0,Each,1.54,Door Spring Clevis Pin,
17000405,1,100,13,13,13,288,147,0,0,Each,0.04229167,"O-Ring, A-007",
17000386,1,100,2,2,2,96,76,0,0,Each,0.0225,"Washer, Lock, #2",
17000381,1,100,1,1,1,81,70,0,100,Each,349.53,Door Spring,
17000377,1,100,1,1,1,32,22,0,0,Each,2.66,"Screw, Shoulder, 1/4 x 1-1/2, Self-locki",
17000371,1,100,2,2,2,92,72,0,0,Each,5.26,Knurled Thumb Screw,
17000364,1,100,1,1,1,66,56,0,0,Each,1.11,"Mount, Reservoir",
17000358,1,100,2,2,2,136,116,0,0,Each,1.58,Card Edge Guide,
17000355,1,100,1,1,1,92,81,0,0,Each,15.61978261,Reservoir Cartridge w/ Desiccant Dryer,
17000321,1,100,1,1,1,209,199,0,0,Each,0.02287081,"Washer #10, Split",
17000305,1,100,3,3,3,"3,264","3,169",0,0,Each,0.10037377,"Receptacle, 2 Pin, Closed End",
17000300,1,100,1,1,1,39,29,0,0,Each,0.16102564,"Screw, 10-32 x 5/8, PHP, SS",
17000292,1,100,1,1,1,130,120,0,0,Each,1.93,Fan Guard,
17000290,1,100,1,1,1,42,32,0,0,Each,22.5,DC Cooling Fan,
17000284,1,100,4,4,4,318,274,0,0,Each,0.04169811,"Screw, 4-40 x 1/2, SHCS, SS",
17000244,1,100,2,2,2,125,102,0,0,Each,0.06496,"Screw, 6-32 x 1/4, PHP, SS",
17000194,1,100,0,0,0,2,2,0,0,Each,36.935,Threadlocker RoHS Compliant,
17000183,1,100,1,1,1,58,41,0,150,Each,0.08482759,"Washer, #8, Flat, SS",
17000145,1,100,1,1,1,272,262,0,0,Each,0.25338235,"Connector, 2 pin,",
17000142,1,100,4,4,4,157,115,0,0,Each,3.16904459,"Fitting, Elbow, 1/4 Tube x 1/4 Tube",
17000140,1,100,0,0,0,6,6,0,0,Each,17.41166667,"Lubricant, Flourinated, Krytox",
17000135,1,100,2,2,2,161,141,0,0,Each,1.87,"Standoff, 6-32 x .75, Hex, F-F, SS",
17000131,1,100,1,1,1,143,133,0,0,Each,0.17909091,"Clip, Wire .125",
17000130,1,100,1,1,1,108,98,0,0,Each,26.75,"Window, Optical, 20mm",
17000128,1,100,1,1,1,512,502,0,0,Each,0.05728516,"Washer, Flat, #4, SS",
17000127,1,100,2,2,2,832,812,0,0,Each,0.09760817,"Washer, .250 ID x .450 OD x .010, Teflon",
17000126,1,100,4,4,4,669,629,0,0,Each,0.11911809,"Washer, Flat, .247 ID x.093, Nylon",
17000125,1,100,4,4,4,279,239,0,0,Each,0.8578853,"Washer, #8, Shoulder, Nylon",
17000101,1,100,1,1,1,"1,058","1,047",0,0,Each,0.28832703,O-ring A-013,
17000099,1,100,2,2,2,974,952,0,0,Each,0.30052361,O-ring A-014,
17000098,1,100,2,2,2,393,371,0,0,Each,0.25346056,O-ring A-012,
17000097,1,100,4,4,4,56,12,0,"1,000",Each,0.2,O-ring A-009,
17000094,1,100,2,2,2,172,150,0,0,Each,0.2425,O-ring -011,
17000091,1,100,4,4,4,440,400,0,0,Each,1.01654545,"Foot, 1x1x.250, 3M#SJ5705",
17000073,1,100,9,9,9,247,153,0,0,Each,0.20388664,"Screw, 8-32 x 1/2, Button, Socket, Blk O",
17000068,1,100,4,4,4,188,148,0,0,Each,0.0337234,"Nut, 6-32 x 5/16, M/S, Hex",
17000067,1,100,1,1,1,134,124,0,0,Each,0.035,"Nut, 10-32 x 3/8, M/S, Hex, SS",
17000066,1,100,6,6,6,271,209,0,0,Each,0.21774908,"Screw, 6-32x 3/4, Button, Socket, Blk Ox",
17000064,1,100,2,2,2,288,264,0,0,Each,0.15420139,"Screw, 4-40 x 1/4, Button, Socket, Blk O",
17000063,1,100,3,3,3,211,181,0,0,Each,0.03028436,"Nut, 4-40 x.1/4, M/S, Hex, SS",
17000062,1,100,6,6,6,286,222,0,0,Each,0.09898601,"Screw, 4-40x 5/16, PanHd, Phil, SS",
17000061,1,100,4,4,4,340,300,0,0,Each,0.2025,"Washer, #4, Star, External, Zinc",
17000060,1,100,11,11,11,675,554,0,0,Each,0.01777778,"Washer, #8, Split Lock, Zinc",
17000059,1,100,23,23,23,388,146,0,0,Each,0.02072165,"Washer, #4, Split Lock, Zinc",
17000055,1,100,4,4,4,356,312,0,0,Each,0.10449438,"Screw, 8-32 x.3/4, Button, Socket, S.S.",
17000054,1,100,4,4,4,138,94,0,0,Each,0.16847826,"Screw, 6-32 x 1/2, Button, Socket, Blk O",
17000053,1,100,4,4,4,316,267,0,0,Each,0.10721519,"Screw, 4-40 x 3/8, Panhd, Phillips, SS",
17000048,1,100,14,14,14,307,161,0,0,Each,0.01820847,"Screw, 4-40 x 1/4, Panhd, Phillips, Zinc",
17000040,1,100,42.5,42.5,42.5,"9,380","8,917",0,0,Inch,0.02549574,"Tubing, Polyurethane, 1/4 OD, .045 Wall,",
17000039,1,100,22.5,22.5,22.5,"10,919.50","10,672.50",0,0,Inch,0.0096955,"Tubing, Polyurethane, 1/8 OD, .030 Wall,",
17000027,1,100,13,13,13,525,392,0,0,Each,0.01499048,"WASHER, #6, LOCK, Zinc Plated",
15241126,1,100,2,2,2,97,77,0,200,Each,13.32082474,"Thermistor, 8-32",
15240154,1,100,1,1,1,147,129,0,155,Each,25.93768707,"Shield, Actuator",
15240052,1,100,1,1,1,139,129,0,0,Each,2.86467626,"Catch, Door Latch",
15240011,1,100,1,1,1,225,212,0,0,Each,2.37497778,"Actuator, Wash, Passive",
15220001,1,100,2,2,2,"173,098","173,077.97",6,0,Each,0.02819986,"Label, FastPack, Blank",
15210106,1,100,1,1,1,71,60,0,0,Each,22.61,PCB Assembly Shutter PhotoSensor,
15210102,1,100,1,1,1,150,137,0,0,Each,23.47,"PCB Assembly, Latch PhotoSensor",
15000471,1,100,1,1,1,162,152,0,0,Each,97.56,"Chassis, Analyzer",
15000468,1,100,1,1,1,75,65,0,0,Each,195,Manifold Plate IP,
15000467,1,100,1,1,1,109,99,0,0,Each,109.06,Main Heater IP,
15000466,1,100,2,2,2,294,274,0,0,Each,7.8157483,Door Latch Pro Cable,
15000455,1,100,1,1,1,154,144,0,0,Each,17.14616883,Pressure Transducer Mount,
15000451,1,100,1,1,1,159,149,0,0,Each,213.37,8 Valve Bank,
15000450,1,100,1,1,1,149,139,0,0,Each,187.42,7 Valve Bank,
15000343,1,100,1,1,1,88,78,0,0,Each,25.79,CPU II Back Plate,
15000342,1,100,1,1,1,157,147,0,0,Each,56,PMT Shutter Holder,
15000336,1,100,1,1,1,73,62,0,"2,600",Each,4.96,Seitz Motor Gear,
15000335,1,100,1,1,1,530,519,0,"2,100",Each,12.89,Magnet Carousel Gear,
15000322,1,100,1,1,1,152,142,0,0,Each,24.66782895,Motor Mount,
15000320,1,100,1,1,1,54,44,0,0,Each,31.22277778,Barcode Reader Bracket,
15000299,1,100,11,11,11,"1,240","1,130",0,0,Each,2.76916129,Acrylic Manifold Brass Fittings,
15000291,1,100,1,1,1,43,32,0,50,Each,16.7,Door Label IP II,
15000270,1,100,1,1,1,329,319,0,0,Each,168.38,EEC Magnet Carousel,
15000157,1,100,2,2,2,164,144,0,0,Each,3.17,"Bracket, PCA/Plate",
15000148,1,100,1,1,1,134,124,0,0,Each,21.8,"Cable, Door Interconnect",
15000147,1,100,1,1,1,93,83,0,0,Each,37.8783871,"Cable, Main Interconnect",
15000143,1,100,1,1,1,107,97,0,0,Each,14.25,"Bracket, Cable, Door",
15000142,1,100,1,1,1,106,96,0,0,Each,12.75,"Support, Cable, Door",
15000111,1,100,1,1,1,81,71,0,0,Each,49.92,"Clevis, Door Closer, Bearing",
15000110,1,100,1,1,1,157,147,0,0,Each,11.41,"Hinge, Clevis, Door",
