Component Name,Level,Component Yield,BoM Quantity per Assembly,Quantity per Assembly,Quantity per Top Level Assembly,On Hand,Available,Back Ordered,On Order,Units,Average Cost,Description,Minimum Quantity
CD Labor Consumption,1,100,0,0,0,0,0,0,0,,,,
17000707,1,100,3,3,3,172,166,0,0,Each,0.15215116,Off-White Nylon Unthreaded Spacer,
94000066,1,100,0,0,0,0,0,0,0,,,Analyzer Production Traveler,
94000029,1,100,0,0,0,0,0,0,0,,,"Procedure, QC Release Test, Analyzer",
61000082,1,100,1,1,1,71,69,0,0,Each,5.12,Analyzer IP A Part ID Label,
61000074,1,100,1,1,1,155,153,0,0,Each,4.2,RoHS Compliant Analyzer IP Part ID Label,
61000064,1,100,1,1,1,119,112,0,0,Each,3.01,"Analyzer IP Serial Number Label, cNemko",
61000055,1,100,1,1,1,256,249,0,0,Each,0.59,Biohazard Symbol Label,
40000144,1,100,0,0,0,0,0,0,0,,,CPU2 PMT Calibration 10 pW,
40000132,1,100,0,0,0,0,0,0,0,,,CPU2 PMT Calibration Worksheet,
40000072,1,100,0,0,0,0,0,0,0,,,FP Instrument Test Data Form,
40000069,1,100,0,0,0,0,0,0,0,,,FP Burn-In Data Analysis(BurnInData.xls),
40000065,1,100,0,0,0,0,0,0,0,,,Analyzer QC Release Test,
17000712,1,100,5,5,5,295,285,0,0,Each,0.15891525,"Screw 8-32 x 7/8 SHCS""",
17000708,1,100,1,1,1,42,40,0,0,Each,288.5,Opticon Scanner,
17000700,1,100,1,1,1,105,103,0,0,Each,2.72,"3/8"" NPT x 1/4"" Tubing Elbow",
17000699,1,100,1,1,1,129,127,0,0,Each,0.17317829,"3/8"" x 5/8"" Grommet",
17000696,1,100,11,11,11,325,303,0,0,Each,1.71,"1/8"" X 10-32 Tube Connector",
17000687,1,100,4,4,4,280,272,0,0,Each,0.0605,"4-40 x 3/4"" Socket Head Cap Screw",
17000650,1,100,2,2,2,81,77,0,0,Each,4.41,"Y Fitting, .25 x .25 x .25",
17000556,1,100,7,7,7,465,451,0,0,Each,0.0216129,"Screw, 4-40 x .625 PHMS",
17000529,1,100,1,1,1,90,88,0,0,Each,1.19,"Connector, 9 Pin IDC 26 AWG",
17000528,1,100,2,2,2,158,154,0,0,Each,0.39246835,"Screw, M2.6 ?ó 0.45 SHCS, RoHS",
17000527,1,100,1,1,1,60,45,0,140,Each,680,Photosensor Module,
17000526,1,100,1,1,1,354,352,0,0,Each,0.09418079,"O-ring, .208 ID x .348 OD",
17000525,1,100,8,8,8,793,777,0,0,Each,0.14809584,Locking tie .070 Width,
17000523,1,100,1,1,1,69,67,0,0,Each,11.45,1/8 NPT x 1/4 Tube Check Valve,
17000522,1,100,0,0,0,36,36,0,0,Each,0.14777778,"Low Profile Cable Tie, 11 1/4 in x 0.18",
17000518,1,100,1,1,1,113,111,0,0,Each,0.10938053,1/4 Nylon Loop Clamp,
17000514,1,100,2,2,2,284,280,0,0,Each,0.08021127,2-56 x 9/16 SHCS Screw,
17000513,1,100,2,2,2,534,529,0,0,Each,0.02720974,#4 Washer 0.21 OD,
17000512,1,100,2,2,2,198,194,0,0,Each,0.16661616,4-40 x 3/16 set screw,
17000510,1,100,0.0015,0.0015,0.0015,1.9865,1.976,0,0,Each,11.78957966,Double Sided Tape (Roll),
17000508,1,100,1,1,1,129,117,0,0,Each,0.2003876,Bulkhead Grommet,
17000506,1,100,1,1,1,59,57,0,50,Each,234.8,12VDC Motor with Shaft Adapter,
17000505,1,100,1,1,1,79,72,0,0,Each,6.07632911,90 PSI Safety Valve,
17000504,1,100,2,2,2,586,582,0,0,Each,0.06754266,"Screw, M3 x 6, PHP",
17000484,1,100,1,1,1,88,86,0,0,Each,7.13,KNF Muffler,
17000483,1,100,1,1,1,41,39,0,50,Each,363.2,KNF Analyzer Pump,
17000469,1,100,0,0,0,6,6,0,0,Each,2.78,Thread Sealant Tape (Roll),
17000466,1,100,1,1,1,58,56,0,0,Each,1.54,Door Spring Clevis Pin,
17000405,1,100,13,13,13,479,453,0,0,Each,0.04235908,"O-Ring, A-007",
17000386,1,100,2,2,2,162,158,0,0,Each,0.02234568,"Washer, Lock, #2",
17000381,1,100,1,1,1,93,91,0,103,Each,349.53,Door Spring,
17000377,1,100,1,1,1,52,50,0,0,Each,2.66,"Screw, Shoulder, 1/4 x 1-1/2, Self-locki",
17000371,1,100,2,2,2,116,112,0,0,Each,5.26,Knurled Thumb Screw,
17000364,1,100,1,1,1,88,86,0,0,Each,1.11,"Mount, Reservoir",
17000358,1,100,2,2,2,162,158,0,0,Each,1.58,Card Edge Guide,
17000355,1,100,1,1,1,106,104,0,0,Each,15.61981132,Reservoir Cartridge w/ Desiccant Dryer,
17000321,1,100,1,1,1,235,232,0,0,Each,0.0227234,"Washer #10, Split",
17000305,1,100,16,16,16,561,529,0,0,Each,0.12122995,"Receptacle, 2 Pin, Closed End",
17000300,1,100,1,1,1,54,52,0,0,Each,0.16074074,"Screw, 10-32 x 5/8, PHP, SS",
17000292,1,100,1,1,1,143,141,0,0,Each,1.93,Fan Guard,
17000290,1,100,1,1,1,46,44,0,0,Each,22.5,DC Cooling Fan,
17000284,1,100,4,4,4,496,488,0,0,Each,0.04197581,"Screw, 4-40 x 1/2, SHCS, SS",
17000244,1,100,2,2,2,155,151,0,0,Each,0.06522581,"Screw, 6-32 x 1/4, PHP, SS",
17000194,1,100,0,0,0,2,2,0,0,Each,36.935,Threadlocker RoHS Compliant,
17000183,1,100,1,1,1,168,166,0,0,Each,0.10785714,"Washer, #8, Flat, SS",
17000145,1,100,1,1,1,289,287,0,0,Each,0.25318339,"Connector, 2 pin,",
17000142,1,100,4,4,4,123,115,0,0,Each,2.90821138,"Fitting, Elbow, 1/4 Tube x 1/4 Tube",
17000140,1,100,0,0,0,8,5,0,12,Each,18.5575,"Lubricant, Flourinated, Krytox",
17000135,1,100,2,2,2,185,181,0,0,Each,1.87,"Standoff, 6-32 x .75, Hex, F-F, SS",
17000131,1,100,1,1,1,155,153,0,0,Each,0.17916129,"Clip, Wire .125",
17000130,1,100,1,1,1,128,126,0,0,Each,26.75,"Window, Optical, 20mm",
17000128,1,100,1,1,1,542,540,0,0,Each,0.05723247,"Washer, Flat, #4, SS",
17000127,1,100,2,2,2,866,862,0,0,Each,0.09758661,"Washer, .250 ID x .450 OD x .010, Teflon",
17000126,1,100,4,4,4,717,709,0,0,Each,0.11917713,"Washer, Flat, .247 ID x.093, Nylon",
17000125,1,100,4,4,4,331,323,0,0,Each,0.85782477,"Washer, #8, Shoulder, Nylon",
17000101,1,100,1,1,1,138,131,0,0,Each,0.28804348,O-ring A-013,
17000099,1,100,2,2,2,110,96,0,0,Each,0.30090909,O-ring A-014,
17000098,1,100,2,2,2,557,542,0,0,Each,0.25387792,O-ring A-012,
17000097,1,100,4,4,4,376,348,0,0,Each,0.2,O-ring A-009,
17000094,1,100,2,2,2,332,318,0,0,Each,0.24364458,O-ring -011,
17000091,1,100,4,4,4,340,332,0,0,Each,0.99714706,"Foot, 1x1x.250, 3M#SJ5705",
17000073,1,100,9,9,9,511,493,0,0,Each,0.20422701,"Screw, 8-32 x 1/2, Button, Socket, Blk O",
17000068,1,100,4,4,4,268,260,0,0,Each,0.0338806,"Nut, 6-32 x 5/16, M/S, Hex",
17000067,1,100,1,1,1,161,158,0,0,Each,0.03496894,"Nut, 10-32 x 3/8, M/S, Hex, SS",
17000066,1,100,6,6,6,302,290,0,0,Each,0.21682119,"Screw, 6-32x 3/4, Button, Socket, Blk Ox",
17000064,1,100,2,2,2,144,140,0,0,Each,0.14375,"Screw, 4-40 x 1/4, Button, Socket, Blk O",
17000063,1,100,3,3,3,281,275,0,0,Each,0.03021352,"Nut, 4-40 x.1/4, M/S, Hex, SS",
17000062,1,100,6,6,6,338,326,0,0,Each,0.09911243,"Screw, 4-40x 5/16, PanHd, Phil, SS",
17000061,1,100,4,4,4,442,424,0,0,Each,0.20271493,"Washer, #4, Star, External, Zinc",
17000060,1,100,11,11,11,640,618,0,0,Each,0.01773438,"Washer, #8, Split Lock, Zinc",
17000059,1,100,23,23,23,"1,127","1,075",0,0,Each,0.02079858,"Washer, #4, Split Lock, Zinc",
17000055,1,100,4,4,4,532,524,0,0,Each,0.10466165,"Screw, 8-32 x.3/4, Button, Socket, S.S.",
17000054,1,100,4,4,4,222,214,0,0,Each,0.16612613,"Screw, 6-32 x 1/2, Button, Socket, Blk O",
17000053,1,100,4,4,4,210,197,0,0,Each,0.10166667,"Screw, 4-40 x 3/8, Panhd, Phillips, SS",
