Component Name,Level,Component Yield,BoM Quantity per Assembly,Quantity per Assembly,Quantity per Top Level Assembly,On Hand,Available,Back Ordered,On Order,Units,Average Cost,Description,Minimum Quantity
CD Labor Consumption,1,100,10.82803,10.82803,10.82803,0,0,0,0,,,,
94000080,1,100,0,0,0,0,0,0,0,,,FP Labeling & Kit Packaging-Complete Kit,
94000054,1,100,0,0,0,0,0,0,0,,,Automatic IPA Operation and Maintenance,
94000053,1,100,0,0,0,0,0,0,0,,,FastPack IP System Daily Maintenance Log,
94000049,1,100,0,0,0,0,0,0,0,,,IP Attachment Machine Operation & Maint.,
92000034,1,100,0,0,0,0,0,0,0,,,Definition of Date of Manufacture,
92000009,1,100,0,0,0,0,0,0,0,,,"Inspections for Imprinting, Filling and",
92000008,1,100,0,0,0,0,0,0,0,,,Accountability for Mfg Areas,
92000007,1,100,0,0,0,0,0,0,0,,,Label Imprinting,
67000153,1,100,0,0,0,0,0,0,0,,,SHBG Cal Card Label ID,
67000149,1,100,1,1,1,0,0,290,0,Each,,SHBG Control Range Card,
67000145,1,100,0,0,0,0,0,0,0,,,SHBG Control 2 Label ID,
67000144,1,100,0,0,0,0,0,0,0,,,SHBG Control 1 Label ID,
67000143,1,100,0,0,0,0,0,0,0,,,SHBG Cal Label ID,
64000071,1,100,0,0,0,0,0,0,0,,,"SDS, FastPack IP SHBG Comlete Kit",
64000069,1,100,0,0,0,0,0,0,0,,,FastPack IP SHBG Immunoassay Kit DI,
64000056,1,100,1,1,1,"1,714","1,552",128,0,Each,0.15,Lot Specific Warning Card,
CD Labor Consumption,2,100,0,0,0,0,0,0,0,,,,
15000285,2,100,1,1,1,"88,090","87,800",0,0,Each,0.15,"Paper, Cover, Index 90# White, 8.5 x 11",
64000022,1,100,1,1,1,"5,450","3,518",128,0,Each,0.19,DI Instruction Card w/Sodium Azide,
62000088,1,100,1,1,1,35,0,255,"1,000",Each,,FastPack IP SHBG Kit Box Complete,
61000001,1,100,1,1,1,"40,890","40,600",0,0,Each,0.49,Calibrator Card,
60000015,1,100,3,3,3,"68,971","54,867",0,0,Each,0.01984298,Polyolefin label W=0.75 x L=1.50 inches,
60000014,1,100,1,1,1,"6,782","4,722",0,0,Each,0.04133884,"Label, Blank, Polyart All Temp, 1.35 x 1",
60000009,1,100,30,30,30,"466,039","432,526",0,0,Each,0.02445701,Barcode Label Kit,
15220001,1,100,1,1,1,"31,501","31,194",1,"250,000",Each,0.02620012,"Label, FastPack, Blank",
15000340,1,100,1,1,1,"2,346","2,056",0,0,Each,1.75691816,FastPack IP Vit D Kit Bx Complete-Insert,
15000302,1,100,30,30,30,"81,633","72,733",4,"255,000",Each,0.15899991,Injection Port,
15000285,1,100,1,1,1,"88,090","87,800",0,0,Each,0.15,"Paper, Cover, Index 90# White, 8.5 x 11",
9100005,1,100,0,0,0,0,0,0,0,,,Line Clearance,
9000522,1,100,32,32,32,"2,185",0,"9,280","12,000",Each,0.51980778,SHBG Sample Diluent Vial,
CD Labor Consumption,2,100,0.11631,0.11631,3.72192,0,0,0,0,,,,
94000007-FRM,2,100,0,0,0,0,0,0,0,,,Manufacturing Equipment Repair Log,
94000071,2,100,0,0,0,0,0,0,0,,,Vial Component Filling and Labeling,
93000013,2,100,0,0,0,0,0,0,0,,,Microbial Testing Procedure,
92000034,2,100,0,0,0,0,0,0,0,,,Definition of Date of Manufacture,
92000009,2,100,0,0,0,0,0,0,0,,,"Inspections for Imprinting, Filling and",
92000008,2,100,0,0,0,0,0,0,0,,,Accountability for Mfg Areas,
92000007,2,100,0,0,0,0,0,0,0,,,Label Imprinting,
67000154,2,100,0,0,0,0,0,0,0,,,SHBG Sample Diluent Label ID,
60000015,2,100,1,1,32,"68,971","54,867",0,0,Each,0.01984298,Polyolefin label W=0.75 x L=1.50 inches,
17000507,2,100,1,1,32,"13,900","1,900",0,"35,000",Each,0.19250647,1.5 mil Micro Centrifuge Tube,
9100005,2,100,0,0,0,0,0,0,0,,,Line Clearance,
9000521,2,100,0.9,0.9,28.8,"9,000","9,000","10,800","14,200",milliliter,0.23354,SHBG Sample Diluent,
CD Labor Consumption,3,100,0,0,0,0,0,0,0,,,,
9400002,3,100,0,0,0,0,0,0,0,,,Line Clearance Form,
11000011,3,100,0.001,0.001,0.0288,"1,132.27","1,109.62",0,0,milliliter,0.42749521,PROCLIN 150 preservative,
11000024,3,100,0.1,0.1,2.88,"25,135","19,094.56",0,0,milligram,0.1870002,Normal Mouse IgG,
11000071,3,100,0.0005,0.0005,0.0144,98.29,87.39069,0,0,milliliter,0.5121579,Tween 20,
11000102,3,100,0.0003,0.0003,0.00864,"2,338.49","2,281.90",0,0,milliliter,8.85357743,Inactivated ALP-Liquid,
11000209,3,100,0.00005,0.00005,0.00144,86.8,83.63143,0,0,gram,121.0001152,Goat IgG,
15200013,3,100,0.001,0.001,0.0288,"4,730.12","4,700.04",0,0,gram,0.70423372,Sodium Azide,
15200018,3,100,0.0001,0.0001,0.00288,814.03,623.623486,0,0,milliliter,0.09697431,50% Sodium Hydroxide,
15200019,3,100,0.0001,0.0001,0.00288,"1,687.48","1,547.82",0,0,milliliter,0.21300401,Hydrochloric Acid,
15200029,3,100,0.996,0.996,28.6848,"24,947.29","6,488.09",0,0,milliliter,0.20549972,Alkaline Phosphatase Stabilizer,
15200032,3,100,0.001,0.001,0.0288,"23,560.85","23,143.23",0,0,gram,0.03725842,Brij-35 Concentrate,
92000019,3,100,0,0,0,0,0,0,0,,,Company Dress Code,
94000048,3,100,0,0,0,0,0,0,0,,,Hazardous Material Management,
9000506,1,100,1,1,1,524,172,0,0,Each,7.97374046,SHBG Control 2 Vial,
CD Labor Consumption,2,100,0,0,0,0,0,0,0,,,,
DEV1299,2,100,0,0,0,0,0,0,0,,,"Generic deviation use vial cap, red dot",
94000007-FRM,2,100,0,0,0,0,0,0,0,,,Manufacturing Equipment Repair Log,
94000071,2,100,0,0,0,0,0,0,0,,,Vial Component Filling and Labeling,
93000013,2,100,0,0,0,0,0,0,0,,,Microbial Testing Procedure,
92000034,2,100,0,0,0,0,0,0,0,,,Definition of Date of Manufacture,
92000009,2,100,0,0,0,0,0,0,0,,,"Inspections for Imprinting, Filling and",
92000008,2,100,0,0,0,0,0,0,0,,,Accountability for Mfg Areas,
92000007,2,100,0,0,0,0,0,0,0,,,Label Imprinting,
40000101,2,100,0,0,0,0,0,0,0,,,"Cal., Control, Verifier Value Assignment",
17000491,2,100,1,1,1,"4,472","4,172",0,"4,900",Each,0.51719812,Wheaton I-Loc Red Screw Cap,
17000462,2,100,1,1,1,"14,080","13,180",0,"4,800",Each,0.93252273,Wheaton Amber S/T Bottle 5mL,
9100005,2,100,0,0,0,0,0,0,0,,,Line Clearance,
9000490,2,100,1.4,1.4,1.4,674,674,0,0,milliliter,4.65998516,SHBG Control 2,
