Component Name,Level,Component Yield,BoM Quantity per Assembly,Quantity per Assembly,Quantity per Top Level Assembly,On Hand,Available,Back Ordered,On Order,Units,Average Cost,Description,Minimum Quantity
CD Labor Consumption,1,100,0,0,0,0,0,0,0,,,,
94000056,1,100,0,0,0,0,0,0,0,,,FastPack Labeling & Kit Packaging IP Kit,
94000054,1,100,0,0,0,0,0,0,0,,,Automatic IPA Operation and Maintenance,
94000053,1,100,0,0,0,0,0,0,0,,,FastPack IP System Daily Maintenance Log,
94000049,1,100,0,0,0,0,0,0,0,,,IP Attachment Machine Operation & Maint.,
92000034,1,100,0,0,0,0,0,0,0,,,Definition of Date of Manufacture,
92000009,1,100,0,0,0,0,0,0,0,,,"Inspections for Imprinting, Filling and",
92000008,1,100,0,0,0,0,0,0,0,,,Accountability for Mfg Areas,
92000007,1,100,0,0,0,0,0,0,0,,,Label Imprinting,
64000053,1,100,0,0,0,0,0,0,0,,,FastPack Kit SDS,
64000022,1,100,1,1,1,"5,653","3,913",128,0,Each,0.19,DI Instruction Card w/Sodium Azide,
64000001,1,100,0,0,0,0,0,0,0,Each,,"Direction Insert, FastPack PSA Kit",
62000090,1,100,1,1,1,"1,862",982,0,0,Each,0.38834586,FastPack TPSA Kit Box Label,
62000089,1,100,1,1,1,"2,524","1,446",0,"5,000",Each,1.42135895,FastPack Kit Box,
60000014,1,100,1,1,1,"6,986","5,118",0,0,Each,0.04133839,"Label, Blank, Polyart All Temp, 1.35 x 1",
60000009,1,100,30,30,30,"430,010","395,566",0,"48,420",Each,0.02433957,Barcode Label Kit,
15000302,1,100,30,30,30,"93,940","85,039",5,"255,000",Each,0.159,Injection Port,
9100005,1,100,0,0,0,0,0,0,0,,,Line Clearance,
9000091,1,100,30,30,30,385,0,"26,400","27,200",Each,0.44223377,Total PSA FastPack,
CD Labor Consumption,2,100,0,0,0,0,0,0,0,,,,
94000007-FRM,2,100,0,0,0,0,0,0,0,,,Manufacturing Equipment Repair Log,
94000057,2,100,0,0,0,0,0,0,0,,,FastPack Pouch Filling,
94000052,2,100,0,0,0,0,0,0,0,,,Filler III Daily Maintenance Log,
94000038,2,100,0,0,0,0,0,0,0,,,Filler III Operation and Maintenance,
92000034,2,100,0,0,0,0,0,0,0,,,Definition of Date of Manufacture,
92000009,2,100,0,0,0,0,0,0,0,,,"Inspections for Imprinting, Filling and",
92000008,2,100,0,0,0,0,0,0,0,,,Accountability for Mfg Areas,
67000134,2,100,0,0,0,0,0,0,0,,,FP Barcode Label Artwork-Filler III,
67000131,2,100,0,0,0,0,0,0,0,,,FP Barcode Label Artwork-Offline Printer,
40000123,2,100,0,0,0,0,0,0,0,,,Master Curve Template,
40000102,2,100,0,0,0,0,0,0,0,,,Fastpack Process Control,
15000226,2,100,1,1,30,"188,937","149,737",0,"258,836",Each,0.04979999,Substrate Mask,
15000214,2,100,0.63542,0.63542,19.0626,"135,586","107,677.54",0,"147,000",Foot,0.19355295,Fastpack Foil,
15000140,2,100,0.21181,0.21181,6.3543,"101,469","101,469","8,302.95","23,200",Yard,0.70862746,Scotchpak Heat Sealable Film,
9220008,2,100,2,2,60,"198,345","196,845","78,400",0,milliliter,0.00214036,"Buffer, Wash (1X)",
CD Labor Consumption,3,100,0,0,0,0,0,0,0,,,,
9400002,3,100,0,0,0,0,0,0,0,,,Line Clearance Form,
15200018,3,100,0.0001,0.0001,0.006,814.03,665.343486,0,0,milliliter,0.09697431,50% Sodium Hydroxide,
15200019,3,100,0.0001,0.0001,0.006,"1,687.48","1,589.54",0,0,milliliter,0.21300401,Hydrochloric Acid,
